 ,Arabic,Bulgarian,Chinese,Czech,Danish,Dutch,German,Japanese,Portuguese,Slovene,Spanish,Swedish,Turkish,Average
McDonald,66.91,87.57,85.9,80.18,84.79,79.19,87.34,90.71,86.82,73.44,82.25,82.55,63.19,80.83
Nivre,66.71,87.41,86.92,78.42,84.77,78.59,85.82,91.65,87.6,70.3,81.29,84.58,65.68,80.75
